CID,Label,FullName
1,,Only heating (Very high heating demand)
2,,Only heating (High heating demand)
3,,Only heating (Moderate heating demand)
4,,Only heating (Low heating demand)
5,,Heating and cooling (High heating and low cooling demand)
6,,Heating and cooling (Moderate heating and low cooling demand)
7,,Heating and cooling (Moderate heating and moderate cooling demand)
8,,Heating and cooling (Low heating and high cooling demand)
9,,Heating and cooling (Low heating and moderate cooling demand)
10,,Heating and cooling (Low heating and low cooling demand)
11,,Only cooling (Very high cooling demand)
12,,Only cooling (High cooling demand)
13,,Only cooling (Moderate cooling demand)
14,,Only cooling (Low cooling demand)
15,,Cooling and dehumidification (High cooling demand)
16,,Cooling and dehumidification (Moderate cooling demand)
17,,Cooling and dehumidification (Low cooling demand)
18,,"Heating, cooling and dehumidification (Low and moderate heating and cooling demand)"
19,,Minor heating and cooling (Low heating and moderate cooling demand)
