LID,BIO,lig,gas,coal,elec,dheat,hyd
15,0.001508,0.312032,0.2222,0.3539,0.391,0.114,0
16,0.001508,0.312032,0.2222,0.3539,0.571,0.114,0
17,0.001508,0.312032,0.2222,0.3539,1.225,0.191,0
18,0.001508,0.312032,0.2222,0.3539,1.686,0.114,0
19,0.001508,0.312032,0.2222,0.3539,1.505,0.191,0
20,0.001508,0.312032,0.2222,0.3539,1.067,0.114,0
21,0.001508,0.312032,0.2222,0.3539,0.71,0.114,0
22,0.001508,0.312032,0.2222,0.3539,0.878,0.114,0
23,0.001508,0.312032,0.2222,0.3539,1.624,0.214,0
24,0.001508,0.312032,0.2222,0.3539,0.473,0.114,0
25,0.001508,0.312032,0.2222,0.3539,0.164,0.114,0
26,0.001508,0.312032,0.2222,0.3539,0.941,0.114,0
27,0.001508,0.312032,0.2222,0.3539,1.756,0.114,0
28,0.001508,0.312032,0.2222,0.3539,1.088,0.191,0
29,0.001508,0.312032,0.2222,0.3539,1.383,0.114,0
30,0.001508,0.312032,0.2222,0.3539,1.039,0.114,0
31,0.001508,0.312032,0.2222,0.3539,0.347,0.214,0
32,0.001508,0.312032,0.2222,0.3539,0.766,0.114,0
33,0.001508,0.312032,0.2222,0.3539,1.077,0.214,0
34,0.001508,0.312032,0.2222,0.3539,1.79,0.114,0
35,0.001508,0.312032,0.2222,0.3539,0.948,0.114,0
36,0.001508,0.312032,0.2222,0.3539,1.817,0.191,0
37,0.001508,0.312032,0.2222,0.3539,1.013,0.114,0
38,0.001508,0.312032,0.2222,0.3539,1.06,0.191,0
39,0.001508,0.312032,0.2222,0.3539,0.739,0.191,0
40,0.001508,0.312032,0.2222,0.3539,0.918,0.191,0
41,0.001508,0.312032,0.2222,0.3539,0.094,0.114,0
42,0.001508,0.312032,0.2222,0.3539,0.918,0.191,0
