LID,FCID,BIO,lig,gas,coal,elec,dheat,hyd
15,1,0.07,0.254,0.331,0.016,0.277,0.052,0
16,1,0.07,0.254,0.331,0.016,0.277,0.052,0
17,1,0.07,0.132,0.26,0.117,0.217,0.204,0
18,1,0.07,0.254,0.331,0.016,0.277,0.052,0
19,1,0.07,0.132,0.26,0.117,0.217,0.204,0
20,1,0.07,0.254,0.331,0.016,0.277,0.052,0
21,1,0.016,0.091,0.356,0.044,0.131,0.361,0
22,1,0.07,0.254,0.331,0.016,0.277,0.052,0
23,1,0.07,0.254,0.331,0.016,0.277,0.052,0
24,1,0.07,0.254,0.331,0.016,0.277,0.052,0
25,1,0.07,0.254,0.331,0.016,0.277,0.052,0
26,1,0.07,0.132,0.26,0.117,0.217,0.204,0
27,1,0.07,0.254,0.331,0.016,0.277,0.052,0
28,1,0.07,0.254,0.331,0.016,0.277,0.052,0
29,1,0.016,0.091,0.356,0.044,0.131,0.361,0
30,1,0.016,0.091,0.356,0.044,0.131,0.361,0
31,1,0.07,0.254,0.331,0.016,0.277,0.052,0
32,1,0.07,0.254,0.331,0.016,0.277,0.052,0
33,1,0.07,0.254,0.331,0.016,0.277,0.052,0
34,1,0.07,0.132,0.26,0.117,0.217,0.204,0
35,1,0.07,0.254,0.331,0.016,0.277,0.052,0
36,1,0.07,0.132,0.26,0.117,0.217,0.204,0
37,1,0.07,0.132,0.26,0.117,0.217,0.204,0
38,1,0.07,0.132,0.26,0.117,0.217,0.204,0
39,1,0.07,0.254,0.331,0.016,0.277,0.052,0
40,1,0.07,0.254,0.331,0.016,0.277,0.052,0
41,1,0.07,0.254,0.331,0.016,0.277,0.052,0
42,1,0.07,0.254,0.331,0.016,0.277,0.052,0
