LID,CID,TZID,Name,TimeZoneShare
15,1,293,Europe/Vienna,1
15,2,293,Europe/Vienna,1
15,3,293,Europe/Vienna,1
16,3,256,Europe/Brussels,1
17,3,286,Europe/Sofia,1
17,6,286,Europe/Sofia,1
18,18,209,Asia/Nicosia,1
19,2,278,Europe/Prague,1
19,3,278,Europe/Prague,1
20,2,254,Europe/Berlin,1
20,3,254,Europe/Berlin,1
21,3,260,Europe/Copenhagen,1
22,10,271,Europe/Madrid,1
22,3,271,Europe/Madrid,1
22,6,271,Europe/Madrid,1
22,7,271,Europe/Madrid,1
22,9,271,Europe/Madrid,1
23,2,288,Europe/Tallinn,1
24,1,262,Europe/Helsinki,1
24,2,262,Europe/Helsinki,1
25,1,276,Europe/Paris,1
25,3,276,Europe/Paris,1
25,6,276,Europe/Paris,1
26,2,269,Europe/London,1
26,3,269,Europe/London,1
27,10,252,Europe/Athens,1
27,3,252,Europe/Athens,1
27,6,252,Europe/Athens,1
27,9,252,Europe/Athens,1
28,3,258,Europe/Budapest,1
28,6,258,Europe/Budapest,1
29,3,261,Europe/Dublin,1
30,10,280,Europe/Rome,1
30,18,280,Europe/Rome,0.5
30,2,280,Europe/Rome,1
30,3,280,Europe/Rome,1
30,6,280,Europe/Rome,0.5
30,6,282,Europe/San_Marino,0.5
30,18,292,Europe/Vatican,0.5
31,2,294,Europe/Vilnius,1
32,3,270,Europe/Luxembourg,1
33,2,279,Europe/Riga,1
34,18,272,Europe/Malta,1
35,3,250,Europe/Amsterdam,1
36,2,296,Europe/Warsaw,1
36,3,296,Europe/Warsaw,1
37,10,267,Europe/Lisbon,1
37,3,267,Europe/Lisbon,1
37,6,267,Europe/Lisbon,1
38,2,257,Europe/Bucharest,1
38,3,257,Europe/Bucharest,1
38,6,257,Europe/Bucharest,1
39,2,255,Europe/Bratislava,1
39,3,255,Europe/Bratislava,1
40,3,268,Europe/Ljubljana,1
41,1,287,Europe/Stockholm,1
41,2,287,Europe/Stockholm,1
41,3,287,Europe/Stockholm,1
42,3,297,Europe/Zagreb,1
42,6,297,Europe/Zagreb,1
